date,time_out,time_in,am_or_pm,diff,shit,urine,ind,notes
7-Dec,1:18,1:30,pm,,1,0,N/A,
7-Dec,3:00,3:20,pm,,0,0,N/A,
8-Dec,12:24,12:32,am,,1,0,N/A,
8-Dec,9:18,9:25,am,,1,1,N/A,
8-Dec,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9-Dec,4:20,4:40,pm,,1,0,N/A,
9-Dec,6:00,6:15,pm,,1,0,N/A,
9-Dec,8:00,8:14,pm,,0,1,N/A,
9-Dec,11:50,12:05,pm,,0,0,N/A,
10-Dec,8:30,8:50,am,,0,0,N/A,
10-Dec,11:26,11:32,am,,0,1,N/A,
10-Dec,12:45,1:07,pm,,0,0,N/A,
10-Dec,3:20,3:28,pm,,0,0,N/A,
10-Dec,6:00,6:10,pm,,0,1,N/A,
10-Dec,10:30,10:50,pm,,0,1,N/A,
11-Dec,7:00,7:10,am,,1,0,N/A,
11-Dec,1:32,1:40,pm,,1,1,N/A,
11-Dec,5:30,5:34,pm,,0,1,N/A,
11-Dec,9:00,9:10,pm,,1,1,N/A,
11-Dec,1:35,1:57,am,,0,1,N/A,
12-Dec,11:31,11:37,am,,0,1,N/A,
12-Dec,12:47,1:00,pm,,0,0,N/A,
12-Dec,5:37,5:49,pm,,1,1,N/A,
12-Dec,9:50,9:59,pm,,0,1,N/A,
13-Dec,9:50,5:58,am,,1,1,N/A,
13-Dec,11:42,11:49,am,,1,1,,
13-Dec,12:05,12:11,pm,,0,0,1,
13-Dec,5:14,5:20,pm,,1,1,,
13-Dec,11:30,11:40,pm,,0,1,,
14-Dec,9:18,9:24,am,,0,1,,
14-Dec,11:24,11:40,am,,1,1,1,
14-Dec,6:04,6:14,pm,,0,1,1,
15-Dec,10:40,10:59,am,,0,1,1,
15-Dec,1:10,1:19,pm,,0,1,2,
15-Dec,5:19,5:30,pm,,0,1,1,
15-Dec,9:42,9:49,pm,,1,1,1,
16-Dec,9:34,9:44,am,,0,1,0,
16-Dec,N/A,N/A,,N/A,N/A,N/A,N/A,
16-Dec,6:17,6:27,pm,,1,1,1,
16-Dec,7:35,7:46,pm,,0,1,2,
17-Dec,9:55,10:00,am,,0,1,1,
17-Dec,11:14,11:23,am,,1,1,2,
17-Dec,3:01,3:07,pm,,0,1,1,
17-Dec,6:25,6:31,pm,,0,1,1,
17-Dec,9:06,9:18,pm,,1,1,1,
18-Dec,8:38,8:49,am,,1,1,1,
18-Dec,11:20,11:25,am,,1,1,1,
18-Dec,1:08,1:15,pm,,0,1,2,
18-Dec,4:35,4:57,pm,,0,1,1,
18-Dec,8:35,8:51,pm,,1,1,2,
19-Dec,10:07,10:14,am,,0,1,1,
19-Dec,5:37,5:48,pm,,0,1,1,
19-Dec,10:50,10:56,pm,,0,1,1,
20-Dec,10:28,10:34,am,,0,1,,
20-Dec,12:52,1:00,pm,,1,1,2,
20-Dec,3:36,3:41,pm,,0,1,2,
