date,time_out,time_in,diff,shit,urine,ind,
10-Dec,12:45,12:57,,1,1,N/A,
,3:14,3:20,,0,1,N/A,
11-Dec,9:30,9:45,,1,1,N/A,
,1:32,1:40,,1,0,N/A,
,5:30,5:34,,0,1,N/A,
,9:00,9:13,,0,1,N/A,
,1:34,1:40,,0,1,N/A,
12-Dec,1:00,1:03,,1,1,N/A,
,5:37,5:49,,1,1,N/A,
13-Dec,9:50,9:58,,1,0,0,
,N/A,N/A,N/A,N/A,N/A,0,
14-Dec,11:41,11:49,,1,1,0,
,N/A,N/A,N/A,N/A,N/A,0,
15-Dec,6:04,6:14,,0,1,0,
,2:41,2:46,,0,1,0,
,8:15,8:20,,1,1,0,
16-Dec,6:00,6:10,,0,1,0,
,2:04,2:16,,0,1,0,
,6:14,6:17,,1,1,0,
17-Dec,10:00,10:04,,1,1,0,
,3:35,3:38,,0,1,0,
,6:25,6:32,,1,1,0,
18-Dec,8:49,8:56,,0,1,0,
,11:40,11:50,,1,1,0,
,4:35,4:57,,1,1,0,
,8:51,9:00,,0,1,0,
19-Dec,10:07,10:12,,1,1,0,
,5:37,5:48,,1,0,0,
,10:50,10:56,,1,1,0,
20-Dec,10:28,10:34,,1,1,0,
,3:41,3:46,,1,1,0,
,N/A,N/A,N/A,N/A,N/A,0,
21-Dec,11:55,11:58,,1,1,0,
,6:00,6:07,,1,1,0,
,10:12,10:15,,1,1,0,
22-Dec,1:34,1:42,,0,1,0,
,10:35,10:40,,1,1,0,
,4:27,4:30,,1,0,1,
,8:36,8:45,,1,0,0,
,11:47,11:50,,0,1,0,
23-Dec,12:46,N/A,N/A,N/A,N/A,N/A,
,4:21,4:26,N/A,N/A,N/A,N/A,
24-Dec,10:39,10:43,,1,1,0,
,9:41,N/A,N/A,N/A,N/A,1,
25-Dec,N/A,N/A,N/A,N/A,N/A,N/A,
,7:26,7:37,,1,1,0,
26-Dec,1:28,1:30,,1,1,1,am
,1:57,2:00,,1,1,0,pm
,10:08,N/A,N/A,N/A,N/A,N/A,
27-Dec,2:04,2:08,,0,1,1,pm
,9:06,9:13,,1,1,0,
28-Dec,N/A,N/A,,N/A,N/A,N/A,am
,8:45,8:50,,N/A,N/A,N/A,
